id,status_invoice_name,Purchase Date,Payment Method,Invoice Paid,Nama Event ,id_event,Nama Ticket
5317,PAID,7/16/22 12:29,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Coach Thomas Doll
5318,PAID,7/16/22 12:29,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Michael Krmencik
5319,PAID,7/16/22 12:29,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Ryuji Utomo
5325,PAID,7/16/22 12:32,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Michael Krmencik
5326,PAID,7/16/22 12:33,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5321,PAID,7/16/22 12:31,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5322,PAID,7/16/22 12:31,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Ondrej Kudela
5324,PAID,7/16/22 12:31,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Syahrian Abimanyu
5328,PAID,7/16/22 12:36,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Riko Simanjuntak
5327,PAID,7/16/22 12:34,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5347,PAID,7/16/22 12:47,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5329,PAID,7/16/22 12:36,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5330,PAID,7/16/22 12:37,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5332,PAID,7/16/22 12:40,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5331,PAID,7/16/22 12:40,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5334,PAID,7/16/22 12:41,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Michael Krmencik
